"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-23","2024-12-01","BOD","SCL","Santiago","https://www.kayak.fr/flights/BOD-SCL/2024-12-01?sort=bestflight_a","20:10","09:50+1","1060","956.0","False","BOD","SCL","0","1","CDG","105.0","Air France","N/A","Light","44.837789, -0.57918","-33.4377756, -70.6504502","11184.28","2024-11-23 06:00:54","2024-12-01 20:10:00","2024-12-02 09:50:00","955.0","8","Sunday","evening","long","high","6173365972879692895"
"2024-11-23","2024-12-01","BOD","SCL","Santiago","https://www.kayak.fr/flights/BOD-SCL/2024-12-01?sort=bestflight_a","18:35","09:50+1","1155","1372.0","False","BOD","SCL","0","1","CDG","200.0","Air France","N/A","Light","44.837789, -0.57918","-33.4377756, -70.6504502","11184.28","2024-11-23 06:00:54","2024-12-01 18:35:00","2024-12-02 09:50:00","955.0","8","Sunday","evening","long","high","6826953065014113739"
"2024-11-23","2024-12-01","BOD","SCL","Santiago","https://www.kayak.fr/flights/BOD-SCL/2024-12-01?sort=bestflight_a","14:55","09:50+1","1375","1157.0","False","BOD","SCL","N/A","N/A","CDG","420.0","Air France","N/A","Light","44.837789, -0.57918","-33.4377756, -70.6504502","11184.28","2024-11-23 06:00:54","2024-12-01 14:55:00","2024-12-02 09:50:00","955.0","8","Sunday","afternoon","long","high","5171619387169533983"
"2024-11-23","2024-12-01","BOD","SCL","Santiago","https://www.kayak.fr/flights/BOD-SCL/2024-12-01?sort=bestflight_a","12:30","09:50+1","1520","1215.0","False","BOD","SCL","N/A","N/A","AMS","215.0","KLM","N/A","Light","44.837789, -0.57918","-33.4377756, -70.6504502","11184.28","2024-11-23 06:00:54","2024-12-01 12:30:00","2024-12-02 09:50:00","1305.0","8","Sunday","afternoon","long","high","3563851406641024821"
"2024-11-23","2024-12-01","BOD","SCL","Santiago","https://www.kayak.fr/flights/BOD-SCL/2024-12-01?sort=bestflight_a","17:50","10:00+1","1210","1143.0","False","BOD","SCL","N/A","N/A","BCN","265.0","Air France","N/A","Economy","44.837789, -0.57918","-33.4377756, -70.6504502","11184.28","2024-11-23 06:00:54","2024-12-01 17:50:00","2024-12-02 10:00:00","945.0","8","Sunday","evening","long","high","4485788591516313152"
"2024-11-23","2024-12-01","BOD","SCL","Santiago","https://www.kayak.fr/flights/BOD-SCL/2024-12-01?sort=bestflight_a","11:55","09:50+1","1555","1372.0","False","BOD","SCL","N/A","N/A","CDG","600.0","Air France","N/A","Light","44.837789, -0.57918","-33.4377756, -70.6504502","11184.28","2024-11-23 06:00:54","2024-12-01 11:55:00","2024-12-02 09:50:00","955.0","8","Sunday","morning","long","high","7548862955581748190"
"2024-11-23","2024-12-01","BOD","SCL","Santiago","https://www.kayak.fr/flights/BOD-SCL/2024-12-01?sort=bestflight_a","10:40","09:50+1","1630","1372.0","False","BOD","SCL","N/A","N/A","CDG","675.0","Air France","N/A","Light","44.837789, -0.57918","-33.4377756, -70.6504502","11184.28","2024-11-23 06:00:54","2024-12-01 10:40:00","2024-12-02 09:50:00","955.0","8","Sunday","morning","long","high","2137179479185053800"
"2024-11-23","2024-12-01","BOD","SCL","Santiago","https://www.kayak.fr/flights/BOD-SCL/2024-12-01?sort=bestflight_a","18:05","10:50+1","1245","2317.0","False","BOD","SCL","0","0","AMS","80.0","LEVEL","N/A","Light","44.837789, -0.57918","-33.4377756, -70.6504502","11184.28","2024-11-23 06:00:54","2024-12-01 18:05:00","2024-12-02 10:50:00","1165.0","8","Sunday","evening","long","high","6851576200654600216"
"2024-11-23","2024-12-01","BOD","SCL","Santiago","https://www.kayak.fr/flights/BOD-SCL/2024-12-01?sort=bestflight_a","06:00","10:50+1","1970","2317.0","False","BOD","SCL","0","0","AMS","815.0","LEVEL","N/A","Light","44.837789, -0.57918","-33.4377756, -70.6504502","11184.28","2024-11-23 06:00:54","2024-12-01 06:00:00","2024-12-02 10:50:00","1155.0","8","Sunday","morning","long","high","3780040829496592308"
"2024-11-23","2024-12-01","BOD","SCL","Santiago","https://www.kayak.fr/flights/BOD-SCL/2024-12-01?sort=bestflight_a","12:30","10:50+1","1580","8741.0","False","BOD","SCL","0","0","AMS","420.0","LEVEL","N/A","Affaires","44.837789, -0.57918","-33.4377756, -70.6504502","11184.28","2024-11-23 06:00:54","2024-12-01 12:30:00","2024-12-02 10:50:00","1160.0","8","Sunday","afternoon","long","high","4074901667005638776"
