"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-23","2024-11-23","BOD","BOG","Bogota","https://www.kayak.fr/flights/BOD-BOG/2024-11-23?sort=bestflight_a","17:55","04:20+1","985","1749.0","False","BOD","BOG","0","1","MAD","275.0","Iberia","N/A","Premium Economy Optimal","44.837789, -0.57918","4.6533816, -74.0836333","8347.53","2024-11-23 05:48:04","2024-11-23 17:55:00","2024-11-24 04:20:00","710.0","0","Saturday","evening","très_long","high","1945425405107890533"
"2024-11-23","2024-11-23","BOD","BOG","Bogota","https://www.kayak.fr/flights/BOD-BOG/2024-11-23?sort=bestflight_a","09:05","16:40","815","3140.0","False","BOD","BOG","0","1","MAD","105.0","Iberia","N/A","Business Optimal","44.837789, -0.57918","4.6533816, -74.0836333","8347.53","2024-11-23 05:48:04","2024-11-23 09:05:00","2024-11-23 16:40:00","710.0","0","Saturday","morning","très_long","high","8664357657527912611"
"2024-11-23","2024-11-26","BOD","BOG","Bogota","https://www.kayak.fr/flights/BOD-BOG/2024-11-26?sort=bestflight_a","06:00","14:30","870","905.0","False","BOD","BOG","0","1","AMS","110.0","KLM","N/A","Light","44.837789, -0.57918","4.6533816, -74.0836333","8347.53","2024-11-23 05:52:56","2024-11-26 06:00:00","2024-11-26 14:30:00","760.0","3","Tuesday","morning","très_long","high","6160121053315969639"
"2024-11-23","2024-11-26","BOD","BOG","Bogota","https://www.kayak.fr/flights/BOD-BOG/2024-11-26?sort=bestflight_a","10:40","19:25","885","1191.0","False","BOD","BOG","0","1","CDG","140.0","KLM","N/A","Light","44.837789, -0.57918","4.6533816, -74.0836333","8347.53","2024-11-23 05:52:56","2024-11-26 10:40:00","2024-11-26 19:25:00","745.0","3","Tuesday","morning","très_long","high","3339090102126597189"
"2024-11-23","2024-11-26","BOD","BOG","Bogota","https://www.kayak.fr/flights/BOD-BOG/2024-11-26?sort=bestflight_a","06:00","19:25","1165","904.0","False","BOD","BOG","0","1","CDG","420.0","KLM","N/A","Light","44.837789, -0.57918","4.6533816, -74.0836333","8347.53","2024-11-23 05:52:56","2024-11-26 06:00:00","2024-11-26 19:25:00","745.0","3","Tuesday","morning","très_long","high","7572363594942383849"
"2024-11-23","2024-11-26","BOD","BOG","Bogota","https://www.kayak.fr/flights/BOD-BOG/2024-11-26?sort=bestflight_a","06:00","19:25","1165","1050.0","False","BOD","BOG","N/A","N/A","AMS","165.0","KLM","N/A","Light","44.837789, -0.57918","4.6533816, -74.0836333","8347.53","2024-11-23 05:52:56","2024-11-26 06:00:00","2024-11-26 19:25:00","1000.0","3","Tuesday","morning","très_long","high","7572363594942383849"
"2024-11-23","2024-11-26","BOD","BOG","Bogota","https://www.kayak.fr/flights/BOD-BOG/2024-11-26?sort=bestflight_a","06:00","19:25","1165","1050.0","False","BOD","BOG","N/A","N/A","AMS","70.0","KLM","N/A","Light","44.837789, -0.57918","4.6533816, -74.0836333","8347.53","2024-11-23 05:52:56","2024-11-26 06:00:00","2024-11-26 19:25:00","1095.0","3","Tuesday","morning","très_long","high","7572363594942383849"
"2024-11-23","2024-11-26","BOD","BOG","Bogota","https://www.kayak.fr/flights/BOD-BOG/2024-11-26?sort=bestflight_a","18:00","14:30+1","1590","1192.0","False","BOD","BOG","N/A","N/A","AMS","820.0","KLM","N/A","Light","44.837789, -0.57918","4.6533816, -74.0836333","8347.53","2024-11-23 05:52:56","2024-11-26 18:00:00","2024-11-27 14:30:00","770.0","3","Tuesday","evening","très_long","high","8051935818197446884"
"2024-11-23","2024-11-26","BOD","BOG","Bogota","https://www.kayak.fr/flights/BOD-BOG/2024-11-26?sort=bestflight_a","18:00","19:25+1","1885","1050.0","False","BOD","BOG","N/A","N/A","AMS","655.0","KLM","N/A","Light","44.837789, -0.57918","4.6533816, -74.0836333","8347.53","2024-11-23 05:52:56","2024-11-26 18:00:00","2024-11-27 19:25:00","1230.0","3","Tuesday","evening","très_long","high","4359785539670482905"
"2024-11-23","2024-11-26","BOD","BOG","Bogota","https://www.kayak.fr/flights/BOD-BOG/2024-11-26?sort=bestflight_a","06:40","19:25","1125","6625.0","False","BOD","BOG","N/A","N/A","LYS","155.0","Air France","N/A","Affaires","44.837789, -0.57918","4.6533816, -74.0836333","8347.53","2024-11-23 05:52:56","2024-11-26 06:40:00","2024-11-26 19:25:00","970.0","3","Tuesday","morning","très_long","high","1672572203334309213"
