"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-21?sort=price_a","21:50","15:20+1","1050","181.0","False","BOD","OSL","N/A","N/A","MXP","795.0","easyJet","N/A","Standard","44.837789, -0.57918","59.9133301, 10.7389701","1840.12","2024-11-21 14:49:48","2024-11-21 21:50:00","2024-11-22 15:20:00","255.0","0","Thursday","evening","très_long","standard","4641860967268149804"
"2024-11-21","2024-11-21","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-21?sort=price_a","21:30","09:10+1","700","208.0","False","BOD","OSL","N/A","N/A","MXP","795.0","easyJet","N/A","Standard","44.837789, -0.57918","59.9133301, 10.7389701","1840.12","2024-11-21 14:49:48","2024-11-21 21:30:00","2024-11-22 09:10:00","","0","Thursday","evening","long","standard","5047085043436117306"
"2024-11-21","2024-11-21","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-21?sort=price_a","22:40","15:20+1","1000","251.0","False","BOD","OSL","N/A","N/A","MXP","795.0","easyJet","N/A","Standard","44.837789, -0.57918","59.9133301, 10.7389701","1840.12","2024-11-21 14:49:48","2024-11-21 22:40:00","2024-11-22 15:20:00","205.0","0","Thursday","night","très_long","high","6029781709645493958"
"2024-11-21","2024-11-21","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-21?sort=price_a","22:40","15:20+1","1000","271.0","False","BOD","OSL","N/A","N/A","MXP","795.0","easyJet","N/A","N/A","44.837789, -0.57918","59.9133301, 10.7389701","1840.12","2024-11-21 14:49:48","2024-11-21 22:40:00","2024-11-22 15:20:00","205.0","0","Thursday","night","très_long","high","6029781709645493958"
"2024-11-21","2024-11-21","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-21?sort=price_a","21:50","14:30+1","1000","336.0","False","BOD","OSL","N/A","N/A","N/A","","easyJet","Wizz Air Malta","N/A","44.837789, -0.57918","59.9133301, 10.7389701","1840.12","2024-11-21 14:49:48","2024-11-21 21:50:00","2024-11-22 14:30:00","","0","Thursday","evening","très_long","high","4363608116831226270"
"2024-11-21","2024-11-21","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-21?sort=price_a","21:50","14:05+1","975","341.0","False","BOD","OSL","N/A","N/A","MXP","795.0","easyJet","N/A","N/A","44.837789, -0.57918","59.9133301, 10.7389701","1840.12","2024-11-21 14:49:48","2024-11-21 21:50:00","2024-11-22 14:05:00","180.0","0","Thursday","evening","très_long","high","1601465152482638095"
"2024-11-21","2024-11-21","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-21?sort=price_a","21:30","12:20+1","890","367.0","False","BOD","TRF","N/A","N/A","N/A","","easyJet","Wideroe","N/A","44.837789, -0.57918","59.9133301, 10.7389701","1840.12","2024-11-21 14:49:48","2024-11-21 21:30:00","2024-11-22 12:20:00","","0","Thursday","evening","très_long","high","8347630873909701011"
"2024-11-21","2024-11-21","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-21?sort=price_a","21:50","14:40+1","1010","375.0","False","BOD","TRF","N/A","N/A","N/A","","easyJet","Wizz Air","N/A","44.837789, -0.57918","59.9133301, 10.7389701","1840.12","2024-11-21 14:49:48","2024-11-21 21:50:00","2024-11-22 14:40:00","","0","Thursday","evening","très_long","high","6461830827780371748"
"2024-11-21","2024-11-21","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-21?sort=price_a","22:40","12:05+1","805","449.0","False","BOD","OSL","N/A","N/A","GVA","460.0","easyJet","N/A","Standard","44.837789, -0.57918","59.9133301, 10.7389701","1840.12","2024-11-21 14:49:48","2024-11-21 22:40:00","2024-11-22 12:05:00","345.0","0","Thursday","night","très_long","high","8932464434125875190"
"2024-11-21","2024-11-21","BOD","OSL","Oslo","https://www.kayak.fr/flights/BOD-OSL/2024-11-21?sort=price_a","18:30","23:45","315","529.0","False","BOD","OSL","N/A","N/A","GVA","460.0","easyJet","N/A","Standard","44.837789, -0.57918","59.9133301, 10.7389701","1840.12","2024-11-21 14:49:48","2024-11-21 18:30:00","2024-11-21 23:45:00","","0","Thursday","evening","moyen","high","5630091510777060057"
