"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-23","2024-11-24","BOD","LIM","Lima","https://www.kayak.fr/flights/BOD-LIM/2024-11-24?sort=bestflight_a","17:40","06:30+1","1130","747.0","False","BOD","LIM","0","1","LYS","130.0","Air France","Iberia","Light","44.837789, -0.57918","-12.0621065, -77.0365256","9904.1","2024-11-23 06:40:00","2024-11-24 17:40:00","2024-11-25 06:30:00","1000.0","1","Sunday","evening","long","standard","480933308167891626"
"2024-11-23","2024-11-24","BOD","LIM","Lima","https://www.kayak.fr/flights/BOD-LIM/2024-11-24?sort=bestflight_a","17:40","06:30+1","1130","745.0","False","BOD","LIM","0","1","LYS","130.0","Air France","Iberia","Light","44.837789, -0.57918","-12.0621065, -77.0365256","9904.1","2024-11-23 06:40:00","2024-11-24 17:40:00","2024-11-25 06:30:00","1000.0","1","Sunday","evening","long","standard","480933308167891626"
"2024-11-23","2024-11-24","BOD","LIM","Lima","https://www.kayak.fr/flights/BOD-LIM/2024-11-24?sort=bestflight_a","17:55","06:10+1","1095","1191.0","False","BOD","LIM","0","1","LYS","130.0","Air France","Iberia","Light","44.837789, -0.57918","-12.0621065, -77.0365256","9904.1","2024-11-23 06:40:00","2024-11-24 17:55:00","2024-11-25 06:10:00","965.0","1","Sunday","evening","long","high","6350920236125184087"
"2024-11-23","2024-11-24","BOD","LIM","Lima","https://www.kayak.fr/flights/BOD-LIM/2024-11-24?sort=bestflight_a","09:05","19:10","965","1375.0","False","BOD","LIM","N/A","N/A","MAD","290.0","Air France","Iberia","Basic","44.837789, -0.57918","-12.0621065, -77.0365256","9904.1","2024-11-23 06:40:00","2024-11-24 09:05:00","2024-11-24 19:10:00","675.0","1","Sunday","morning","long","high","5418325722100055730"
"2024-11-23","2024-11-24","BOD","LIM","Lima","https://www.kayak.fr/flights/BOD-LIM/2024-11-24?sort=bestflight_a","18:00","06:10+1","1090","967.0","False","BOD","LIM","N/A","N/A","N/A","","Vueling","Air Europa","Light","44.837789, -0.57918","-12.0621065, -77.0365256","9904.1","2024-11-23 06:40:00","2024-11-24 18:00:00","2024-11-25 06:10:00","","1","Sunday","evening","long","high","5318445588740557529"
"2024-11-23","2024-11-24","BOD","LIM","Lima","https://www.kayak.fr/flights/BOD-LIM/2024-11-24?sort=bestflight_a","15:35","06:10+1","1235","938.0","False","BOD","LIM","N/A","N/A","MAD","160.0","Air France","Iberia","Basic","44.837789, -0.57918","-12.0621065, -77.0365256","9904.1","2024-11-23 06:40:00","2024-11-24 15:35:00","2024-11-25 06:10:00","1075.0","1","Sunday","afternoon","long","high","3352818632600415389"
"2024-11-23","2024-11-24","BOD","LIM","Lima","https://www.kayak.fr/flights/BOD-LIM/2024-11-24?sort=bestflight_a","18:00","06:30+1","1110","976.0","False","BOD","LIM","N/A","N/A","BCN","80.0","Vueling","Air Europa","Economy","44.837789, -0.57918","-12.0621065, -77.0365256","9904.1","2024-11-23 06:40:00","2024-11-24 18:00:00","2024-11-25 06:30:00","1030.0","1","Sunday","evening","long","high","6141275319767300257"
"2024-11-23","2024-11-24","BOD","LIM","Lima","https://www.kayak.fr/flights/BOD-LIM/2024-11-24?sort=bestflight_a","18:00","06:10+1","1090","991.0","False","BOD","LIM","N/A","N/A","N/A","","Vueling","Iberia","Light","44.837789, -0.57918","-12.0621065, -77.0365256","9904.1","2024-11-23 06:40:00","2024-11-24 18:00:00","2024-11-25 06:10:00","","1","Sunday","evening","long","high","5318445588740557529"
"2024-11-23","2024-11-24","BOD","LIM","Lima","https://www.kayak.fr/flights/BOD-LIM/2024-11-24?sort=bestflight_a","18:00","06:30+1","1110","999.0","False","BOD","LIM","0","1","MXP","120.0","Air France","Iberia","Standard","44.837789, -0.57918","-12.0621065, -77.0365256","9904.1","2024-11-23 06:40:00","2024-11-24 18:00:00","2024-11-25 06:30:00","990.0","1","Sunday","evening","long","high","6141275319767300257"
"2024-11-23","2024-11-24","BOD","LIM","Lima","https://www.kayak.fr/flights/BOD-LIM/2024-11-24?sort=bestflight_a","17:55","06:30+1","1115","1375.0","False","BOD","LIM","0","1","BCN","80.0","Air France","Iberia","Economy","44.837789, -0.57918","-12.0621065, -77.0365256","9904.1","2024-11-23 06:40:00","2024-11-24 17:55:00","2024-11-25 06:30:00","1035.0","1","Sunday","evening","long","high","665133825583496997"
