"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","13:35","21:45","490","165.0","False","BOD","VIE","N/A","N/A","BCN","260.0","Vueling","Wizz Air Malta","Économique","44.837789, -0.57918","46.612116549999996, 0.4654070096639711","213.31","2024-11-21 03:18:32","2024-11-21 13:35:00","2024-11-21 21:45:00","230.0","0","Thursday","afternoon","long","high","5397010139984039861"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","21:50","09:00+1","670","212.0","False","BOD","VIE","N/A","N/A","BCN","260.0","Vueling","Wizz Air Malta","Économique","44.837789, -0.57918","46.612116549999996, 0.4654070096639711","213.31","2024-11-21 03:18:32","2024-11-21 21:50:00","2024-11-22 09:00:00","410.0","0","Thursday","evening","long","high","7674885660175933727"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","17:00","07:55+1","895","213.0","False","BOD","VIE","N/A","N/A","BCN","260.0","Vueling","Wizz Air Malta","Économique","44.837789, -0.57918","46.612116549999996, 0.4654070096639711","213.31","2024-11-21 03:18:32","2024-11-21 17:00:00","2024-11-22 07:55:00","635.0","0","Thursday","evening","long","high","753967582927044457"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","11:30","18:50","440","255.0","False","BOD","VIE","N/A","N/A","N/A","","Volotea","Eurowings","N/A","44.837789, -0.57918","46.612116549999996, 0.4654070096639711","213.31","2024-11-21 03:18:32","2024-11-21 11:30:00","2024-11-21 18:50:00","","0","Thursday","morning","long","high","1441109132916810298"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","21:50","14:00+1","970","268.0","False","BOD","VIE","N/A","N/A","BCN","260.0","Vueling","Wizz Air Malta","N/A","44.837789, -0.57918","46.612116549999996, 0.4654070096639711","213.31","2024-11-21 03:18:32","2024-11-21 21:50:00","2024-11-22 14:00:00","710.0","0","Thursday","evening","long","high","1098653650687121368"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","11:30","18:25","415","275.0","False","BOD","VIE","N/A","N/A","N/A","","Volotea","Ryanair","N/A","44.837789, -0.57918","46.612116549999996, 0.4654070096639711","213.31","2024-11-21 03:18:32","2024-11-21 11:30:00","2024-11-21 18:25:00","","0","Thursday","morning","long","high","5970375195011911921"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","13:35","22:50","555","277.0","False","BOD","VIE","N/A","N/A","N/A","","Vueling","Austrian Airlines","N/A","44.837789, -0.57918","46.612116549999996, 0.4654070096639711","213.31","2024-11-21 03:18:32","2024-11-21 13:35:00","2024-11-21 22:50:00","","0","Thursday","afternoon","long","high","4378987921679357101"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","21:50","12:25+1","875","279.0","False","BOD","VIE","N/A","N/A","N/A","","easyJet","Ryanair","Standard","44.837789, -0.57918","46.612116549999996, 0.4654070096639711","213.31","2024-11-21 03:18:32","2024-11-21 21:50:00","2024-11-22 12:25:00","","0","Thursday","evening","long","high","3387022494930938819"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","21:50","14:15+1","985","279.0","False","BOD","VIE","N/A","N/A","N/A","","easyJet","Ryanair","Standard","44.837789, -0.57918","46.612116549999996, 0.4654070096639711","213.31","2024-11-21 03:18:32","2024-11-21 21:50:00","2024-11-22 14:15:00","","0","Thursday","evening","long","high","794204733902808013"
"2024-11-21","2024-11-21","BOD","VIE","Vienne","https://www.kayak.fr/flights/BOD-VIE/2024-11-21?sort=price_a","13:35","22:55","560","292.0","False","BOD","VIE","N/A","N/A","N/A","","easyJet","Ryanair","Standard","44.837789, -0.57918","46.612116549999996, 0.4654070096639711","213.31","2024-11-21 03:18:32","2024-11-21 13:35:00","2024-11-21 22:55:00","","0","Thursday","afternoon","long","high","7071511626000303728"
