"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-21?sort=price_a","14:55","16:30","95","170.0","True","BOD","ZRH","N/A","N/A","N/A","","SWISS","N/A","Economy Light","44.837789, -0.57918","47.3744489, 8.5410422","758.83","2024-11-21 14:48:21","2024-11-21 14:55:00","2024-11-21 16:30:00","","0","Thursday","afternoon","court","standard","6885255181376251191"
"2024-11-21","2024-11-21","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-21?sort=price_a","18:35","22:30","235","181.0","False","BOD","ZRH","N/A","N/A","N/A","","SWISS","N/A","Economy Light","44.837789, -0.57918","47.3744489, 8.5410422","758.83","2024-11-21 14:48:21","2024-11-21 18:35:00","2024-11-21 22:30:00","","0","Thursday","evening","moyen","standard","4880812331152501207"
"2024-11-21","2024-11-21","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-21?sort=price_a","18:00","22:30","270","204.0","False","BOD","ZRH","N/A","N/A","N/A","","SWISS","N/A","Economy Light","44.837789, -0.57918","47.3744489, 8.5410422","758.83","2024-11-21 14:48:21","2024-11-21 18:00:00","2024-11-21 22:30:00","","0","Thursday","evening","moyen","standard","1745699316139629824"
"2024-11-21","2024-11-22","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-22?sort=price_a","07:00","19:45","765","195.0","False","BOD","ZRH","N/A","N/A","NCE","385.0","easyJet","Scandinavian Airlines","Standard","44.837789, -0.57918","47.3744489, 8.5410422","758.83","2024-11-21 14:49:44","2024-11-22 07:00:00","2024-11-22 19:45:00","380.0","1","Friday","morning","long","standard","4487025049935514570"
"2024-11-21","2024-11-22","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-22?sort=price_a","08:30","14:10","340","200.0","False","BOD","ZRH","N/A","N/A","NCE","385.0","easyJet","Scandinavian Airlines","Standard","44.837789, -0.57918","47.3744489, 8.5410422","758.83","2024-11-21 14:49:44","2024-11-22 08:30:00","2024-11-22 14:10:00","","1","Friday","morning","moyen","standard","8986536409987998893"
"2024-11-21","2024-11-22","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-22?sort=price_a","09:45","20:40","655","208.0","False","BOD","ZRH","N/A","N/A","NCE","385.0","easyJet","Scandinavian Airlines","Standard","44.837789, -0.57918","47.3744489, 8.5410422","758.83","2024-11-21 14:49:44","2024-11-22 09:45:00","2024-11-22 20:40:00","270.0","1","Friday","morning","long","standard","5272163112630443007"
"2024-11-21","2024-11-22","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-22?sort=price_a","09:05","22:20","795","220.0","False","BOD","ZRH","N/A","N/A","NCE","385.0","easyJet","Scandinavian Airlines","N/A","44.837789, -0.57918","47.3744489, 8.5410422","758.83","2024-11-21 14:49:44","2024-11-22 09:05:00","2024-11-22 22:20:00","410.0","1","Friday","morning","long","high","6233748722925404454"
"2024-11-21","2024-11-22","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-22?sort=price_a","10:50","16:25","335","229.0","False","BOD","ZRH","N/A","N/A","N/A","","easyJet","SWISS","N/A","44.837789, -0.57918","47.3744489, 8.5410422","758.83","2024-11-21 14:49:44","2024-11-22 10:50:00","2024-11-22 16:25:00","","1","Friday","morning","moyen","high","5526681517270505724"
"2024-11-21","2024-11-22","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-22?sort=price_a","09:05","18:55","590","230.0","False","BOD","ZRH","N/A","N/A","NCE","385.0","easyJet","Scandinavian Airlines","N/A","44.837789, -0.57918","47.3744489, 8.5410422","758.83","2024-11-21 14:49:44","2024-11-22 09:05:00","2024-11-22 18:55:00","205.0","1","Friday","morning","long","high","1014114902077284084"
"2024-11-21","2024-11-22","BOD","ZRH","Zurich","https://www.kayak.fr/flights/BOD-ZRH/2024-11-22?sort=price_a","19:45","07:40+1","715","232.0","False","BOD","ZRH","N/A","N/A","N/A","","easyJet","Ethiopian Air","N/A","44.837789, -0.57918","47.3744489, 8.5410422","758.83","2024-11-21 14:49:44","2024-11-22 19:45:00","2024-11-23 07:40:00","","1","Friday","evening","long","high","7161947415835861799"
