"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-20","2024-11-21","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-21?sort=price_a","11:30","13:35","125","89.0","True","BOD","FCO","N/A","N/A","N/A","","Volotea","N/A","Économique","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-20 21:55:16","2024-11-21 11:30:00","2024-11-21 13:35:00","","1","Thursday","morning","moyen","standard","6281128239363095582"
"2024-11-20","2024-11-21","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-21?sort=price_a","13:35","23:10","575","133.0","False","BOD","FCO","N/A","N/A","N/A","","Volotea","N/A","Économique","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-20 21:55:16","2024-11-21 13:35:00","2024-11-21 23:10:00","","1","Thursday","afternoon","long","high","6432835564406776984"
"2024-11-20","2024-11-21","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-21?sort=price_a","11:30","16:20","290","140.0","False","BOD","FCO","N/A","N/A","N/A","","Volotea","N/A","Économique","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-20 21:55:16","2024-11-21 11:30:00","2024-11-21 16:20:00","","1","Thursday","morning","moyen","high","8491805069321290611"
"2024-11-20","2024-11-21","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-21?sort=price_a","13:35","18:05","270","149.0","False","BOD","FCO","N/A","N/A","N/A","","Volotea","N/A","N/A","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-20 21:55:16","2024-11-21 13:35:00","2024-11-21 18:05:00","","1","Thursday","afternoon","moyen","high","8342389279864012687"
"2024-11-20","2024-11-21","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-21?sort=price_a","17:55","00:55+1","420","156.0","False","BOD","FCO","N/A","N/A","N/A","","Iberia","Wizz Air Malta","N/A","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-20 21:55:16","2024-11-21 17:55:00","2024-11-22 00:55:00","","1","Thursday","evening","long","high","79716285602935578"
"2024-11-20","2024-11-21","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-21?sort=price_a","17:55","00:15+1","380","203.0","False","BOD","FCO","N/A","N/A","N/A","","Volotea","N/A","N/A","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-20 21:55:16","2024-11-21 17:55:00","2024-11-22 00:15:00","","1","Thursday","evening","long","high","2606969152092570955"
"2024-11-20","2024-11-21","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-21?sort=price_a","12:40","19:50","430","231.0","False","BOD","FCO","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-20 21:55:16","2024-11-21 12:40:00","2024-11-21 19:50:00","","1","Thursday","afternoon","long","high","1775533499301984983"
"2024-11-20","2024-11-21","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-21?sort=price_a","12:40","20:45","485","248.0","False","BOD","FCO","N/A","N/A","N/A","","easyJet","Ryanair","N/A","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-20 21:55:16","2024-11-21 12:40:00","2024-11-21 20:45:00","","1","Thursday","afternoon","long","high","2679823741211122549"
"2024-11-20","2024-11-21","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-21?sort=price_a","09:05","17:25","500","253.0","False","BOD","FCO","N/A","N/A","BCN","385.0","Vueling","Wizz Air Malta","Économique","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-20 21:55:16","2024-11-21 09:05:00","2024-11-21 17:25:00","115.0","1","Thursday","morning","long","high","5214382741108747317"
"2024-11-20","2024-11-21","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-21?sort=price_a","09:05","15:30","385","257.0","False","BOD","FCO","N/A","N/A","BCN","385.0","Vueling","Wizz Air Malta","Économique","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-20 21:55:16","2024-11-21 09:05:00","2024-11-21 15:30:00","0.0","1","Thursday","morning","long","high","46917251022546800"
